"";"MI";"ME";"AMOT";"achiever";"player";"socialiser";"freespirit";"disruptor";"philantropist"
"MIVar";-0.707137983170451;0.125324572484614;0.0832900102977973;0.288590135662277;0.16239727529032;-0.0753485469068411;0.0150369232140083;-0.0268380189614266;-0.0448393718688428
"MEVar";0.0528935110418899;-0.494874531547233;0.0164953038210942;0.248044632813333;0.148795460030391;-0.00934956139817947;0.142319374168289;-0.138859663995649;-0.0803948024927754
"AMOTVar";0.100489489713154;-0.00711759417511281;-0.648342445078935;-0.183903254255007;0.0905908343538483;0.0472856364139165;0.0868510468590057;0.0919575815144204;-0.0448025819056612
"MotivatedBehaviour";0.130145869286372;-0.0961312138042212;-0.0213923446244899;0.198622086170112;-0.00235170053401993;-0.126939977557028;-0.00237649527386334;0.0401281266576147;0.103627242479963
