"";"MI";"ME";"AMOT";"achiever";"player";"socialiser";"freespirit";"disruptor";"philantropist"
"MIVar";1.60924359634745e-13;0.105999215180206;0.238334530316889;0.000502134463503305;0.0081741472291403;0.253583434791795;0.821331569300874;0.659856714533523;0.528609508019131
"MEVar";0.595732731334625;1.76133564497135e-08;0.831607503047847;0.00628752258546528;0.0272261003654722;0.89736839193542;0.0528251972753874;0.0391932600918312;0.304581561195134
"AMOTVar";0.220921684168086;0.918939892695818;1.52931801594688e-20;0.013636951046761;0.101345525655293;0.427945381941617;0.150082209921537;0.0963158889173288;0.486385185270689
"MotivatedBehaviour";0.208866183382092;0.276432586290953;0.790382346478718;0.0343911173137905;0.973029622814862;0.0923179940047455;0.975041597393932;0.564132553748394;0.202354622434488
